sensor_type, device_type, timestamps, pressure, 
pressure,smartphone,1454956153852973177,1029.315
pressure,smartphone,1454956154209232239,1029.354
pressure,smartphone,1454956154387155833,1029.340
pressure,smartphone,1454956154565132656,1029.114
pressure,smartphone,1454956154742693594,1029.312
pressure,smartphone,1454956154921291302,1029.332
pressure,smartphone,1454956155277103801,1029.099
pressure,smartphone,1454956155455085417,1029.350
pressure,smartphone,1454956155632136667,1029.070
pressure,smartphone,1454956155810394375,1029.318
pressure,smartphone,1454956155988836979,1029.328
pressure,smartphone,1454956156343877240,1029.304
pressure,smartphone,1454956156521980260,1029.325
pressure,smartphone,1454956156699661250,1029.345
pressure,smartphone,1454956156878235990,1029.090
pressure,smartphone,1454956157234000417,1029.344
pressure,smartphone,1454956157411723803,1029.342
pressure,smartphone,1454956157589514480,1029.297
pressure,smartphone,1454956157767151302,1029.354
pressure,smartphone,1454956157945068959,1029.216
pressure,smartphone,1454956158301281719,1029.161
pressure,smartphone,1454956158479052969,1029.367
pressure,smartphone,1454956158657217552,1029.351
pressure,smartphone,1454956158834741093,1029.338
pressure,smartphone,1454956159013475886,1029.342
pressure,smartphone,1454956159190694010,1029.320
pressure,smartphone,1454956159368887084,1029.164
pressure,smartphone,1454956159547022812,1029.366
pressure,smartphone,1454956159725264375,1029.251
pressure,smartphone,1454956159903049323,1029.189
pressure,smartphone,1454956160258985209,1029.147
pressure,smartphone,1454956160436469478,1029.402
pressure,smartphone,1454956160614211041,1029.264
pressure,smartphone,1454956160791819271,1029.365
pressure,smartphone,1454956160970090053,1029.179
pressure,smartphone,1454956161326091093,1029.155
pressure,smartphone,1454956161504612395,1029.373
pressure,smartphone,1454956161681843854,1029.335
pressure,smartphone,1454956161860279739,1029.339
pressure,smartphone,1454956162215638958,1029.371
pressure,smartphone,1454956162394059687,1029.349
pressure,smartphone,1454956162571836927,1029.354
pressure,smartphone,1454956162749366563,1029.360
pressure,smartphone,1454956162926863177,1029.248
pressure,smartphone,1454956163283454376,1029.086
pressure,smartphone,1454956163461645261,1029.282
pressure,smartphone,1454956163639073333,1029.302
pressure,smartphone,1454956163817080677,1029.337
pressure,smartphone,1454956163995549322,1029.375
pressure,smartphone,1454956164350339063,1029.231
pressure,smartphone,1454956164529243073,1029.358
pressure,smartphone,1454956164706230208,1029.345
pressure,smartphone,1454956164884869843,1029.336
pressure,smartphone,1454956165239829323,1029.304
pressure,smartphone,1454956165418476771,1029.081
pressure,smartphone,1454956165596503489,1029.364
pressure,smartphone,1454956165774137709,1029.372
pressure,smartphone,1454956165951792552,1029.119
pressure,smartphone,1454956166308309167,1029.116
pressure,smartphone,1454956166486233854,1029.341
pressure,smartphone,1454956166663994844,1029.365
pressure,smartphone,1454956166841588907,1029.223
pressure,smartphone,1454956167019664739,1029.340
pressure,smartphone,1454956167197841355,1029.317
pressure,smartphone,1454956167375689582,1029.241
pressure,smartphone,1454956167553499479,1029.306
pressure,smartphone,1454956167730957344,1029.320
pressure,smartphone,1454956167909238698,1029.373
pressure,smartphone,1454956168265296093,1029.204
pressure,smartphone,1454956168443312344,1029.307
pressure,smartphone,1454956168620918958,1029.323
pressure,smartphone,1454956168798551928,1029.283
pressure,smartphone,1454956168976487707,1029.331
pressure,smartphone,1454956169332844583,1029.297
pressure,smartphone,1454956169510972552,1029.365
pressure,smartphone,1454956169687865886,1029.323
pressure,smartphone,1454956169866276978,1029.336
pressure,smartphone,1454956170222023073,1029.302
pressure,smartphone,1454956170399731094,1029.219
pressure,smartphone,1454956170577977656,1029.130
pressure,smartphone,1454956170756237760,1029.074
pressure,smartphone,1454956170936324791,1029.285
pressure,smartphone,1454956171289726927,1029.281
pressure,smartphone,1454956171467008438,1029.297
pressure,smartphone,1454956171645779584,1029.294
pressure,smartphone,1454956171822932240,1029.320
pressure,smartphone,1454956172178920625,1029.064
pressure,smartphone,1454956172356972501,1029.349
pressure,smartphone,1454956172534960521,1029.313
pressure,smartphone,1454956172712896979,1029.299
pressure,smartphone,1454956172891097188,1029.355
pressure,smartphone,1454956173246500989,1029.289
pressure,smartphone,1454956173424414636,1029.137
pressure,smartphone,1454956173602884115,1029.310
pressure,smartphone,1454956173780363073,1029.312
pressure,smartphone,1454956173958776771,1029.157
pressure,smartphone,1454956174313884062,1029.326
pressure,smartphone,1454956174492464376,1029.146
pressure,smartphone,1454956174670411875,1029.314
pressure,smartphone,1454956174847988646,1029.332
pressure,smartphone,1454956175025640833,1029.308
pressure,smartphone,1454956175203594896,1029.192
pressure,smartphone,1454956175381659531,1029.069
pressure,smartphone,1454956175559849584,1029.320
pressure,smartphone,1454956175737229220,1029.263
pressure,smartphone,1454956175915171927,1029.232
pressure,smartphone,1454956176271668490,1029.092
pressure,smartphone,1454956176449020885,1029.139
pressure,smartphone,1454956176627582864,1029.290
pressure,smartphone,1454956176805225729,1029.332
pressure,smartphone,1454956176983257709,1029.303
pressure,smartphone,1454956177339411407,1029.326
pressure,smartphone,1454956177516408436,1029.275
pressure,smartphone,1454956177695133489,1029.357
pressure,smartphone,1454956177872420417,1029.392
pressure,smartphone,1454956178228176510,1029.304
pressure,smartphone,1454956178406516561,1029.074
pressure,smartphone,1454956178584158020,1029.359
pressure,smartphone,1454956178761995886,1029.327
pressure,smartphone,1454956178940078333,1029.293
pressure,smartphone,1454956179295997656,1029.310
pressure,smartphone,1454956179474142969,1029.300
pressure,smartphone,1454956179652292396,1029.272
pressure,smartphone,1454956179830264428,1029.352
pressure,smartphone,1454956180186144374,1029.233
pressure,smartphone,1454956180363569949,1029.156
pressure,smartphone,1454956180541120678,1029.358
pressure,smartphone,1454956180719087917,1029.168
pressure,smartphone,1454956180897914376,1029.315
pressure,smartphone,1454956181253107917,1029.335
pressure,smartphone,1454956181431438333,1029.255
pressure,smartphone,1454956181609099792,1029.290
pressure,smartphone,1454956181787653021,1029.325
pressure,smartphone,1454956181965288749,1029.218
pressure,smartphone,1454956182320830469,1029.293
pressure,smartphone,1454956182499165938,1029.296
pressure,smartphone,1454956182677044895,1029.332
pressure,smartphone,1454956182854392812,1029.267
pressure,smartphone,1454956183032381876,1029.266
pressure,smartphone,1454956183210750313,1029.310
pressure,smartphone,1454956183388681251,1029.351
pressure,smartphone,1454956183566077656,1029.319
pressure,smartphone,1454956183744044948,1029.333
pressure,smartphone,1454956183922437136,1029.282
pressure,smartphone,1454956184278212032,1029.262
pressure,smartphone,1454956184455618489,1029.311
pressure,smartphone,1454956184633332447,1029.324
pressure,smartphone,1454956184812064687,1029.307
pressure,smartphone,1454956184989801094,1029.354
pressure,smartphone,1454956185345882188,1029.084
pressure,smartphone,1454956185523096771,1029.239
pressure,smartphone,1454956185701472604,1029.354
pressure,smartphone,1454956185879518125,1029.114
pressure,smartphone,1454956186235262083,1029.100
pressure,smartphone,1454956186413036771,1029.128
pressure,smartphone,1454956186591050781,1029.259
pressure,smartphone,1454956186769176354,1029.272
pressure,smartphone,1454956186947164739,1029.321
pressure,smartphone,1454956187302904219,1029.355
pressure,smartphone,1454956187480947239,1029.271
pressure,smartphone,1454956187658781563,1029.162
pressure,smartphone,1454956187836551562,1029.304
pressure,smartphone,1454956188192137500,1029.100
pressure,smartphone,1454956188370158386,1029.069
pressure,smartphone,1454956188547719636,1029.192
pressure,smartphone,1454956188726411510,1029.279
pressure,smartphone,1454956188904178802,1029.082
pressure,smartphone,1454956189260927292,1029.323
pressure,smartphone,1454956189437381719,1029.096
pressure,smartphone,1454956189616489947,1029.260
pressure,smartphone,1454956189793386042,1029.352
pressure,smartphone,1454956189971420938,1029.110
pressure,smartphone,1454956190327570313,1029.199
pressure,smartphone,1454956190504791251,1029.063
pressure,smartphone,1454956190683230209,1029.324
pressure,smartphone,1454956190861100833,1029.320
pressure,smartphone,1454956191039016666,1029.297
pressure,smartphone,1454956191216943959,1029.143
pressure,smartphone,1454956191395013853,1029.194
pressure,smartphone,1454956191571148905,1029.060
pressure,smartphone,1454956191750913333,1029.207
pressure,smartphone,1454956191928949896,1029.313
pressure,smartphone,1454956192284895260,1029.302
pressure,smartphone,1454956192462900730,1029.096
pressure,smartphone,1454956192640741667,1029.366
pressure,smartphone,1454956192818555678,1029.332
pressure,smartphone,1454956192996113541,1029.310
pressure,smartphone,1454956193351941250,1029.315
pressure,smartphone,1454956193529767501,1029.096
pressure,smartphone,1454956193708319063,1029.114
pressure,smartphone,1454956193885847864,1029.286
pressure,smartphone,1454956194242091042,1029.302
pressure,smartphone,1454956194419930938,1029.280
pressure,smartphone,1454956194597396771,1029.363
pressure,smartphone,1454956194775893332,1029.316
pressure,smartphone,1454956194953269428,1029.198
pressure,smartphone,1454956195309675365,1029.320
pressure,smartphone,1454956195487002917,1029.376
pressure,smartphone,1454956195665453906,1029.322
pressure,smartphone,1454956195843126146,1029.165
pressure,smartphone,1454956196199204532,1029.080
pressure,smartphone,1454956196376709635,1029.319
pressure,smartphone,1454956196555113124,1029.327
pressure,smartphone,1454956196733142656,1029.294
pressure,smartphone,1454956196910833333,1029.348
pressure,smartphone,1454956197267012657,1029.313
pressure,smartphone,1454956197443719218,1029.330
pressure,smartphone,1454956197622292865,1029.313
pressure,smartphone,1454956197800429375,1029.281
pressure,smartphone,1454956197978334531,1029.133
pressure,smartphone,1454956198333911562,1029.313
pressure,smartphone,1454956198511394583,1029.312
pressure,smartphone,1454956198689885625,1029.351
pressure,smartphone,1454956198868160209,1029.346
pressure,smartphone,1454956199045763385,1029.268
pressure,smartphone,1454956199223757187,1029.354
pressure,smartphone,1454956199401580313,1029.328
pressure,smartphone,1454956199579648230,1029.354
pressure,smartphone,1454956199757284844,1029.307
pressure,smartphone,1454956199935084166,1029.272
pressure,smartphone,1454956200290833021,1029.053
pressure,smartphone,1454956200469094792,1029.238
pressure,smartphone,1454956200646673229,1029.129
pressure,smartphone,1454956200824875208,1029.149
pressure,smartphone,1454956201180277605,1029.153
pressure,smartphone,1454956201358237031,1029.309
pressure,smartphone,1454956201537188333,1029.383
pressure,smartphone,1454956201714600782,1029.335
pressure,smartphone,1454956201892013333,1029.347
pressure,smartphone,1454956202248224271,1029.366
pressure,smartphone,1454956202426360886,1029.354
pressure,smartphone,1454956202603510730,1029.166
pressure,smartphone,1454956202781805781,1029.371
pressure,smartphone,1454956202959732605,1029.191
pressure,smartphone,1454956203315099688,1029.302
pressure,smartphone,1454956203493397865,1029.169
pressure,smartphone,1454956203671802708,1029.292
pressure,smartphone,1454956203849564271,1029.284
pressure,smartphone,1454956204204901927,1029.077
pressure,smartphone,1454956204382870417,1029.323
pressure,smartphone,1454956204560870886,1029.277
pressure,smartphone,1454956204738711250,1029.300
pressure,smartphone,1454956204917105989,1029.336
pressure,smartphone,1454956205272963489,1029.304
pressure,smartphone,1454956205450498438,1029.105
pressure,smartphone,1454956205628455990,1029.342
pressure,smartphone,1454956205806835676,1029.313
pressure,smartphone,1454956205984085780,1029.148
pressure,smartphone,1454956206340691823,1029.340
pressure,smartphone,1454956206518577760,1029.122
pressure,smartphone,1454956206695889063,1029.330
pressure,smartphone,1454956206874892552,1029.309
pressure,smartphone,1454956207049884479,1029.355
pressure,smartphone,1454956207230335417,1029.302
pressure,smartphone,1454956207408000782,1029.353
pressure,smartphone,1454956207585981041,1029.246
pressure,smartphone,1454956207763436354,1029.140
pressure,smartphone,1454956207941581719,1029.402
pressure,smartphone,1454956208297922083,1029.342
pressure,smartphone,1454956208475066562,1029.094
pressure,smartphone,1454956208653538646,1029.175
pressure,smartphone,1454956208831734688,1029.302
pressure,smartphone,1454956209187032031,1029.306
pressure,smartphone,1454956209365134791,1029.329
pressure,smartphone,1454956209542998074,1029.346
pressure,smartphone,1454956209720911823,1029.304
pressure,smartphone,1454956209898308698,1029.230
pressure,smartphone,1454956210254899427,1029.309
pressure,smartphone,1454956210433095990,1029.154
pressure,smartphone,1454956210610602136,1029.360
pressure,smartphone,1454956210787944219,1029.296
pressure,smartphone,1454956210966618437,1029.329
pressure,smartphone,1454956211322242187,1029.255
pressure,smartphone,1454956211500348907,1029.279
pressure,smartphone,1454956211677957448,1029.098
pressure,smartphone,1454956211855964999,1029.276
pressure,smartphone,1454956212211341667,1029.173
pressure,smartphone,1454956212389985729,1029.308
pressure,smartphone,1454956212568087917,1029.293
pressure,smartphone,1454956212745095990,1029.132
pressure,smartphone,1454956212923190208,1029.097
pressure,smartphone,1454956213279568333,1029.106
pressure,smartphone,1454956213457398490,1029.351
pressure,smartphone,1454956213635234427,1029.311
pressure,smartphone,1454956213812967656,1029.339
pressure,smartphone,1454956213990905677,1029.155
pressure,smartphone,1454956214347054895,1029.277
pressure,smartphone,1454956214524885208,1029.126
pressure,smartphone,1454956214702209948,1029.302
pressure,smartphone,1454956214880143750,1029.090
pressure,smartphone,1454956215058712499,1029.110
pressure,smartphone,1454956215236343124,1029.107
pressure,smartphone,1454956215413789896,1029.108
pressure,smartphone,1454956215591881094,1029.106
pressure,smartphone,1454956215770102604,1029.121
pressure,smartphone,1454956215948342032,1029.139
pressure,smartphone,1454956216303353906,1029.138
pressure,smartphone,1454956216481577188,1029.155
pressure,smartphone,1454956216660201615,1029.118
pressure,smartphone,1454956216837297969,1029.156
pressure,smartphone,1454956217192899531,1029.358
pressure,smartphone,1454956217371514115,1029.365
pressure,smartphone,1454956217549013958,1029.320
pressure,smartphone,1454956217727660156,1029.139
pressure,smartphone,1454956217904700261,1029.341
pressure,smartphone,1454956218261001458,1029.345
pressure,smartphone,1454956218438437240,1029.350
pressure,smartphone,1454956218617134427,1029.104
pressure,smartphone,1454956218794738490,1029.348
pressure,smartphone,1454956218972517188,1029.296
pressure,smartphone,1454956219328411667,1029.333
pressure,smartphone,1454956219506328229,1029.252
pressure,smartphone,1454956219684052813,1029.122
pressure,smartphone,1454956219861821771,1029.160
pressure,smartphone,1454956220217652031,1029.087
pressure,smartphone,1454956220395541927,1029.183
pressure,smartphone,1454956220573599687,1029.165
pressure,smartphone,1454956220752006042,1029.298
pressure,smartphone,1454956220930233907,1029.296
pressure,smartphone,1454956221285830156,1029.322
pressure,smartphone,1454956221463292969,1029.296
pressure,smartphone,1454956221641675313,1029.263
pressure,smartphone,1454956221818929687,1029.110
pressure,smartphone,1454956221997982187,1029.377
pressure,smartphone,1454956222353193437,1029.089
pressure,smartphone,1454956222531344427,1029.292
pressure,smartphone,1454956222709138073,1029.291
pressure,smartphone,1454956222886764062,1029.123
pressure,smartphone,1454956223065216302,1029.332
pressure,smartphone,1454956223242904896,1029.228
pressure,smartphone,1454956223420176719,1029.298
pressure,smartphone,1454956223599060261,1029.299
pressure,smartphone,1454956223776429270,1029.112
pressure,smartphone,1454956223954823854,1029.350
pressure,smartphone,1454956224309813958,1029.123
pressure,smartphone,1454956224487831198,1029.124
pressure,smartphone,1454956224666717708,1029.141
pressure,smartphone,1454956224844257761,1029.083
pressure,smartphone,1454956225200046198,1029.316
pressure,smartphone,1454956225377760677,1029.272
pressure,smartphone,1454956225555956875,1029.184
pressure,smartphone,1454956225734043594,1029.127
pressure,smartphone,1454956225911504948,1029.313
