sensor_type, device_type, timestamps, lux, 
light,smartphone,1454956141933461719,1104.000
light,smartphone,1454956142289017292,1104.000
light,smartphone,1454956142468750989,1104.000
light,smartphone,1454956142645615052,1104.000
light,smartphone,1454956142822642604,1104.000
light,smartphone,1454956143000376823,1105.000
light,smartphone,1454956143178672813,1104.000
light,smartphone,1454956143356216666,1105.000
light,smartphone,1454956143534481719,1104.000
light,smartphone,1454956143713115001,1104.000
light,smartphone,1454956143895394218,1104.000
light,smartphone,1454956144246500052,1104.000
light,smartphone,1454956144424124584,1104.000
light,smartphone,1454956144602409479,1104.000
light,smartphone,1454956144779517395,1104.000
light,smartphone,1454956144958423594,1104.000
light,smartphone,1454956145314548542,1104.000
light,smartphone,1454956145496761458,1104.000
light,smartphone,1454956145670362344,1104.000
light,smartphone,1454956145847561250,1104.000
light,smartphone,1454956146203655052,1104.000
light,smartphone,1454956146381644375,1104.000
light,smartphone,1454956146559294062,1105.000
light,smartphone,1454956146738501093,1104.000
light,smartphone,1454956146914673802,1104.000
light,smartphone,1454956147271865052,1104.000
light,smartphone,1454956147449285521,1104.000
light,smartphone,1454956147627507135,1104.000
light,smartphone,1454956147805870938,1104.000
light,smartphone,1454956147983366875,1104.000
light,smartphone,1454956148338950312,1104.000
light,smartphone,1454956148517499063,1104.000
light,smartphone,1454956148694458021,1105.000
light,smartphone,1454956148873872084,1103.000
light,smartphone,1454956149228193698,1103.000
light,smartphone,1454956149406427134,1103.000
light,smartphone,1454956149584552188,1104.000
light,smartphone,1454956149761447396,1103.000
light,smartphone,1454956149942167761,1103.000
light,smartphone,1454956150295819895,1103.000
light,smartphone,1454956150474176042,1104.000
light,smartphone,1454956150652546876,1103.000
light,smartphone,1454956150830547500,1103.000
light,smartphone,1454956151009801823,1103.000
light,smartphone,1454956151185446927,1103.000
light,smartphone,1454956151363846979,1103.000
light,smartphone,1454956151540660833,1103.000
light,smartphone,1454956151719748333,1103.000
light,smartphone,1454956151897558906,1103.000
light,smartphone,1454956152253859688,1102.000
light,smartphone,1454956152431879271,1103.000
light,smartphone,1454956152609610052,1103.000
light,smartphone,1454956152787483751,1103.000
light,smartphone,1454956152964520104,1103.000
light,smartphone,1454956153319828542,1102.000
light,smartphone,1454956153499860052,1103.000
light,smartphone,1454956153678003385,1103.000
light,smartphone,1454956153853688698,1103.000
light,smartphone,1454956154210893073,1103.000
light,smartphone,1454956154387735781,1103.000
light,smartphone,1454956154567557605,1103.000
light,smartphone,1454956154743949739,1103.000
light,smartphone,1454956154927349532,1103.000
light,smartphone,1454956155278839792,1103.000
light,smartphone,1454956155458043074,1103.000
light,smartphone,1454956155633169218,1103.000
light,smartphone,1454956155811013542,1103.000
light,smartphone,1454956155988406302,1104.000
light,smartphone,1454956156344999428,1103.000
light,smartphone,1454956156523040208,1103.000
light,smartphone,1454956156700578021,1103.000
light,smartphone,1454956156879735469,1104.000
light,smartphone,1454956157234593021,1104.000
light,smartphone,1454956157413130677,1104.000
light,smartphone,1454956157591021510,1104.000
light,smartphone,1454956157767752500,1103.000
light,smartphone,1454956157945618021,1104.000
light,smartphone,1454956158302131979,1105.000
light,smartphone,1454956158479977761,1104.000
light,smartphone,1454956158658128178,1104.000
light,smartphone,1454956158835763020,1104.000
light,smartphone,1454956159013379792,1104.000
light,smartphone,1454956159192532656,1104.000
light,smartphone,1454956159369998333,1104.000
light,smartphone,1454956159548065677,1104.000
light,smartphone,1454956159725182187,1104.000
light,smartphone,1454956159903945209,1104.000
light,smartphone,1454956160259828386,1104.000
light,smartphone,1454956160437645313,1104.000
light,smartphone,1454956160614679792,1104.000
light,smartphone,1454956160799529427,1103.000
light,smartphone,1454956160972841042,1104.000
light,smartphone,1454956161326928645,1104.000
light,smartphone,1454956161505509636,1104.000
light,smartphone,1454956161686829739,1104.000
light,smartphone,1454956161860815781,1104.000
light,smartphone,1454956162217508854,1104.000
light,smartphone,1454956162394559427,1104.000
light,smartphone,1454956162572516458,1103.000
light,smartphone,1454956162750846459,1104.000
light,smartphone,1454956162927580313,1104.000
light,smartphone,1454956163284460834,1104.000
light,smartphone,1454956163461876928,1104.000
light,smartphone,1454956163640526563,1105.000
light,smartphone,1454956163818563594,1104.000
light,smartphone,1454956163997019844,1104.000
light,smartphone,1454956164351770886,1103.000
light,smartphone,1454956164529898438,1104.000
light,smartphone,1454956164708080104,1104.000
light,smartphone,1454956164885738646,1104.000
light,smartphone,1454956165240617240,1103.000
light,smartphone,1454956165419907292,1105.000
light,smartphone,1454956165596841458,1104.000
light,smartphone,1454956165775117709,1105.000
light,smartphone,1454956165952609584,1104.000
light,smartphone,1454956166308797500,1104.000
light,smartphone,1454956166486434375,1104.000
light,smartphone,1454956166665357552,1104.000
light,smartphone,1454956166842843230,1104.000
light,smartphone,1454956167021185469,1103.000
light,smartphone,1454956167199243593,1105.000
light,smartphone,1454956167377828594,1104.000
light,smartphone,1454956167553424115,1104.000
light,smartphone,1454956167732829427,1104.000
light,smartphone,1454956167910269062,1104.000
light,smartphone,1454956168266190781,1104.000
light,smartphone,1454956168443264635,1104.000
light,smartphone,1454956168622407448,1104.000
light,smartphone,1454956168800671303,1103.000
light,smartphone,1454956168977900417,1104.000
light,smartphone,1454956169332566823,1104.000
light,smartphone,1454956169511830886,1104.000
light,smartphone,1454956169688514219,1104.000
light,smartphone,1454956169867133853,1104.000
light,smartphone,1454956170222672812,1104.000
light,smartphone,1454956170400488073,1104.000
light,smartphone,1454956170578555677,1104.000
light,smartphone,1454956170756704479,1104.000
light,smartphone,1454956170937988594,1103.000
light,smartphone,1454956171290934271,1104.000
light,smartphone,1454956171467662552,1104.000
light,smartphone,1454956171646485417,1104.000
light,smartphone,1454956171823549167,1104.000
light,smartphone,1454956172180071980,1104.000
light,smartphone,1454956172357945885,1105.000
light,smartphone,1454956172536228594,1104.000
light,smartphone,1454956172713521979,1104.000
light,smartphone,1454956172892283385,1104.000
light,smartphone,1454956173247245677,1104.000
light,smartphone,1454956173425386927,1104.000
light,smartphone,1454956173604014688,1104.000
light,smartphone,1454956173781597864,1103.000
light,smartphone,1454956173959924635,1104.000
light,smartphone,1454956174314567760,1104.000
light,smartphone,1454956174493771355,1104.000
light,smartphone,1454956174671725156,1103.000
light,smartphone,1454956174863466301,1104.000
light,smartphone,1454956175026321301,1104.000
light,smartphone,1454956175204465990,1103.000
light,smartphone,1454956175383757083,1104.000
light,smartphone,1454956175561385625,1104.000
light,smartphone,1454956175739651615,1104.000
light,smartphone,1454956175915679167,1104.000
light,smartphone,1454956176272672813,1104.000
light,smartphone,1454956176450660989,1104.000
light,smartphone,1454956176628583698,1104.000
light,smartphone,1454956176806490729,1104.000
light,smartphone,1454956176984807344,1104.000
light,smartphone,1454956177340537187,1104.000
light,smartphone,1454956177517343021,1104.000
light,smartphone,1454956177696678698,1104.000
light,smartphone,1454956177874524896,1103.000
light,smartphone,1454956178229090313,1103.000
light,smartphone,1454956178407522708,1104.000
light,smartphone,1454956178586557968,1104.000
light,smartphone,1454956178763535573,1103.000
light,smartphone,1454956178940654948,1104.000
light,smartphone,1454956179297080780,1104.000
light,smartphone,1454956179476046667,1103.000
light,smartphone,1454956179653846042,1103.000
light,smartphone,1454956179830553438,1103.000
light,smartphone,1454956180186859532,1103.000
light,smartphone,1454956180364820781,163.000
light,smartphone,1454956180542538646,22.000
light,smartphone,1454956180720547760,5.000
light,smartphone,1454956180899420833,8.000
light,smartphone,1454956181253628698,5.000
light,smartphone,1454956181432865104,4.000
light,smartphone,1454956181610609271,4.000
light,smartphone,1454956181788654063,4.000
light,smartphone,1454956181965730104,4.000
light,smartphone,1454956182322514375,1034.000
light,smartphone,1454956182499853437,759.000
light,smartphone,1454956182677757188,14.000
light,smartphone,1454956182855867865,16.000
light,smartphone,1454956183033773333,14.000
light,smartphone,1454956183211501354,11.000
light,smartphone,1454956183389379584,5.000
light,smartphone,1454956183566586458,4.000
light,smartphone,1454956183743518332,1.000
light,smartphone,1454956183923528594,3.000
light,smartphone,1454956184278250469,1.000
light,smartphone,1454956184457440469,1.000
light,smartphone,1454956184635905833,0.000
light,smartphone,1454956184815711197,0.000
light,smartphone,1454956184992302604,1.000
light,smartphone,1454956185346673907,0.000
light,smartphone,1454956185524908750,0.000
light,smartphone,1454956185702243230,1.000
light,smartphone,1454956185881201927,16.000
light,smartphone,1454956186235720209,1077.000
light,smartphone,1454956186414019219,1077.000
light,smartphone,1454956186592202656,1078.000
light,smartphone,1454956186770183646,1078.000
light,smartphone,1454956186948439531,1077.000
light,smartphone,1454956187303582761,1078.000
light,smartphone,1454956187482029167,1078.000
light,smartphone,1454956187658277500,1078.000
light,smartphone,1454956187837352032,1078.000
light,smartphone,1454956188192652864,1078.000
light,smartphone,1454956188370756772,1078.000
light,smartphone,1454956188548981094,1079.000
light,smartphone,1454956188727775000,1078.000
light,smartphone,1454956188905337500,1079.000
light,smartphone,1454956189270084636,1079.000
light,smartphone,1454956189438317291,1078.000
light,smartphone,1454956189617942500,1077.000
light,smartphone,1454956189794332344,1079.000
light,smartphone,1454956189972509792,1078.000
light,smartphone,1454956190328389011,1078.000
light,smartphone,1454956190505511406,1078.000
light,smartphone,1454956190684384219,1078.000
light,smartphone,1454956190863154063,1079.000
light,smartphone,1454956191039586823,1078.000
light,smartphone,1454956191218518907,1078.000
light,smartphone,1454956191396553228,1079.000
light,smartphone,1454956191574410417,1079.000
light,smartphone,1454956191752528698,1078.000
light,smartphone,1454956191930547604,1078.000
light,smartphone,1454956192285571458,1078.000
light,smartphone,1454956192463535990,1082.000
light,smartphone,1454956192641561927,1078.000
light,smartphone,1454956192819390729,1079.000
light,smartphone,1454956192997858385,1078.000
light,smartphone,1454956193352543073,1081.000
light,smartphone,1454956193531461615,1078.000
light,smartphone,1454956193708846511,1078.000
light,smartphone,1454956193886792655,1079.000
light,smartphone,1454956194242823073,1078.000
light,smartphone,1454956194420660104,1080.000
light,smartphone,1454956194598310521,1078.000
light,smartphone,1454956194777230937,1078.000
light,smartphone,1454956194954880573,1077.000
light,smartphone,1454956195310486771,1079.000
light,smartphone,1454956195488157500,1078.000
light,smartphone,1454956195668982760,1078.000
light,smartphone,1454956195843730677,1079.000
light,smartphone,1454956196198740938,1079.000
light,smartphone,1454956196377389479,1078.000
light,smartphone,1454956196555592395,1078.000
light,smartphone,1454956196733293750,1078.000
light,smartphone,1454956196911499532,1078.000
light,smartphone,1454956197268657135,1078.000
light,smartphone,1454956197444596667,1079.000
light,smartphone,1454956197623415261,1078.000
light,smartphone,1454956197801792708,1077.000
light,smartphone,1454956197979494584,1077.000
light,smartphone,1454956198335069219,1077.000
light,smartphone,1454956198512303958,1078.000
light,smartphone,1454956198690569792,1078.000
light,smartphone,1454956198869536563,1078.000
light,smartphone,1454956199046551041,1078.000
light,smartphone,1454956199225108697,1078.000
light,smartphone,1454956199402716458,1078.000
light,smartphone,1454956199581294323,1078.000
light,smartphone,1454956199758887239,1079.000
light,smartphone,1454956199935623802,1078.000
light,smartphone,1454956200291329114,1083.000
light,smartphone,1454956200469899896,1084.000
light,smartphone,1454956200647951146,1083.000
light,smartphone,1454956200825515000,1083.000
light,smartphone,1454956201181704636,791.000
light,smartphone,1454956201359213698,1084.000
light,smartphone,1454956201538354011,1084.000
light,smartphone,1454956201715810885,1084.000
light,smartphone,1454956201892740417,1083.000
light,smartphone,1454956202249191146,1085.000
light,smartphone,1454956202428412240,1084.000
light,smartphone,1454956202604686302,1083.000
light,smartphone,1454956202782443177,1084.000
light,smartphone,1454956202960687397,1084.000
light,smartphone,1454956203315631406,145.000
light,smartphone,1454956203494203750,58.000
light,smartphone,1454956203672890104,1084.000
light,smartphone,1454956203850310104,1083.000
light,smartphone,1454956204205642396,39.000
light,smartphone,1454956204383471458,28.000
light,smartphone,1454956204561510157,1079.000
light,smartphone,1454956204739818698,1082.000
light,smartphone,1454956204918219375,1084.000
light,smartphone,1454956205274557657,1081.000
light,smartphone,1454956205451754740,1081.000
light,smartphone,1454956205629419114,1085.000
light,smartphone,1454956205808537656,1086.000
light,smartphone,1454956205984886614,1085.000
light,smartphone,1454956206340401250,1086.000
light,smartphone,1454956206520988282,1084.000
light,smartphone,1454956206698929480,1081.000
light,smartphone,1454956206874478125,1081.000
light,smartphone,1454956207053544114,32.000
light,smartphone,1454956207230835573,33.000
light,smartphone,1454956207408603385,33.000
light,smartphone,1454956207586617656,29.000
light,smartphone,1454956207764887292,28.000
light,smartphone,1454956207942814375,28.000
light,smartphone,1454956208297963334,28.000
light,smartphone,1454956208476555676,28.000
light,smartphone,1454956208654852969,28.000
light,smartphone,1454956208832789323,33.000
light,smartphone,1454956209187594635,28.000
light,smartphone,1454956209366713281,33.000
light,smartphone,1454956209544523021,29.000
light,smartphone,1454956209721748177,33.000
light,smartphone,1454956209899868438,33.000
light,smartphone,1454956210255651197,29.000
light,smartphone,1454956210433079167,28.000
light,smartphone,1454956210611539479,54.000
light,smartphone,1454956210789535469,54.000
light,smartphone,1454956210966740155,1085.000
light,smartphone,1454956211324490781,1084.000
light,smartphone,1454956211504830729,1083.000
light,smartphone,1454956211678558802,1085.000
light,smartphone,1454956211856896926,1083.000
light,smartphone,1454956212213285417,1083.000
light,smartphone,1454956212390376615,1083.000
light,smartphone,1454956212568545677,1085.000
light,smartphone,1454956212745634271,1086.000
light,smartphone,1454956212924532812,1084.000
light,smartphone,1454956213279353958,1084.000
light,smartphone,1454956213458783334,1084.000
light,smartphone,1454956213636541822,1083.000
light,smartphone,1454956213813543646,1084.000
light,smartphone,1454956213991509427,1084.000
light,smartphone,1454956214347649010,1085.000
light,smartphone,1454956214526394218,1083.000
light,smartphone,1454956214702736927,1085.000
light,smartphone,1454956214880629479,1084.000
light,smartphone,1454956215060138281,1084.000
light,smartphone,1454956215237449166,1082.000
light,smartphone,1454956215414429375,1082.000
light,smartphone,1454956215592454740,1082.000
light,smartphone,1454956215770648958,1084.000
light,smartphone,1454956215949197864,1082.000
light,smartphone,1454956216304228750,1082.000
light,smartphone,1454956216482370989,1082.000
light,smartphone,1454956216660124740,1081.000
light,smartphone,1454956216838142448,1082.000
light,smartphone,1454956217193570416,1083.000
light,smartphone,1454956217372290364,1084.000
light,smartphone,1454956217549576406,1084.000
light,smartphone,1454956217727734896,1084.000
light,smartphone,1454956217905516771,1084.000
light,smartphone,1454956218261558333,1084.000
light,smartphone,1454956218439093854,1084.000
light,smartphone,1454956218618115417,1084.000
light,smartphone,1454956218795381979,1084.000
light,smartphone,1454956218974106771,1084.000
light,smartphone,1454956219299349063,1084.000
light,smartphone,1454956219506956145,1082.000
light,smartphone,1454956219684946823,1082.000
light,smartphone,1454956219862477813,1083.000
light,smartphone,1454956220218384584,1083.000
light,smartphone,1454956220396244999,1082.000
light,smartphone,1454956220575224478,1082.000
light,smartphone,1454956220753021823,1082.000
light,smartphone,1454956220930835105,1084.000
light,smartphone,1454956221287711667,1081.000
light,smartphone,1454956221465075313,1082.000
light,smartphone,1454956221642487917,1082.000
light,smartphone,1454956221819580000,1082.000
light,smartphone,1454956221998569115,1082.000
light,smartphone,1454956222354762604,1082.000
light,smartphone,1454956222532123489,1083.000
light,smartphone,1454956222710786094,1082.000
light,smartphone,1454956222887654896,1082.000
light,smartphone,1454956223066479530,1081.000
light,smartphone,1454956223243614792,1084.000
light,smartphone,1454956223420677812,1082.000
light,smartphone,1454956223600877969,1082.000
light,smartphone,1454956223777330209,1083.000
light,smartphone,1454956223954478698,1082.000
light,smartphone,1454956224310486979,1083.000
light,smartphone,1454956224488600625,1084.000
light,smartphone,1454956224667358281,1084.000
light,smartphone,1454956224845283594,1084.000
light,smartphone,1454956225201159531,1084.000
light,smartphone,1454956225379136823,1084.000
light,smartphone,1454956225556544010,1085.000
light,smartphone,1454956225735369896,1085.000
light,smartphone,1454956225913111198,1085.000
